"符号","文件路径","行号","类别","快照日期"
"hd_dc_debug.0040","events/hd_dc_debug_impact_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0041","events/hd_dc_debug_impact_events.txt","14","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0042","events/hd_dc_debug_impact_events.txt","25","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0043","events/hd_dc_debug_impact_events.txt","36","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0049","events/hd_dc_debug_impact_events.txt","48","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0050","events/hd_dc_debug_inspection_events.txt","29","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0051","events/hd_dc_debug_inspection_events.txt","76","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0060","events/hd_dc_debug_impact_events.txt","443","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0070","events/hd_dc_debug_impact_events.txt","107","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0071","events/hd_dc_debug_impact_events.txt","170","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0072","events/hd_dc_debug_impact_events.txt","176","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0073","events/hd_dc_debug_impact_events.txt","189","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0074","events/hd_dc_debug_impact_events.txt","261","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0075","events/hd_dc_debug_impact_events.txt","298","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0076","events/hd_dc_debug_impact_events.txt","311","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0077","events/hd_dc_debug_impact_events.txt","350","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0078","events/hd_dc_debug_impact_events.txt","375","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0080","events/hd_dc_debug_impact_events.txt","203","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0081","events/hd_dc_debug_impact_events.txt","216","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0082","events/hd_dc_debug_impact_events.txt","225","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.back","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_debug.close","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_debug.counties","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","277","中文键","2026-09-13"
"hd_dc_debug.counties.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","278","中文键","2026-09-13"
"hd_dc_debug.counties.loss","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","279","中文键","2026-09-13"
"hd_dc_debug.counties.policy","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","281","中文键","2026-09-13"
"hd_dc_debug.counties.recovery","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","280","中文键","2026-09-13"
"hd_dc_debug.details","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","182","中文键","2026-09-13"
"hd_dc_debug.details.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","213","中文键","2026-09-13"
"hd_dc_debug.disaster_scene","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","97","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.created","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","105","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","98","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.earthquake","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","103","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.earthquake_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","99","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.flood","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","104","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.flood_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","100","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.no_earthquake","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","101","中文键","2026-09-13"
