完全空的家族(house) 共 1425 个:
  house_baijia160 -> 宗族 xin563
  house_baijia161 -> 宗族 xin668
  house_baijia162 -> 宗族 baijia297
  house_baijia163 -> 宗族 baijia297
  house_baijia164 -> 宗族 baijia297
  house_baijia165 -> 宗族 baijia165
  house_baijia166 -> 宗族 baijia297
  house_baijia167 -> 宗族 baijia297
  house_baijia168 -> 宗族 baijia297
  house_baijia169 -> 宗族 baijia297
  house_baijia17 -> 宗族 baijia297
  house_baijia170 -> 宗族 xin32
  house_baijia171 -> 宗族 baijia297
  house_baijia172 -> 宗族 baijia297
  house_baijia173 -> 宗族 baijia297
  house_baijia174 -> 宗族 baijia297
  house_baijia175 -> 宗族 baijia297
  house_baijia176 -> 宗族 xin57
  house_baijia177 -> 宗族 xin328
  house_baijia178 -> 宗族 baijia297
  house_baijia179 -> 宗族 baijia297
  house_baijia18 -> 宗族 xin51
  house_baijia180 -> 宗族 xin47
  house_baijia181 -> 宗族 xin442
  house_baijia182 -> 宗族 xin569
  house_baijia183 -> 宗族 xin17
  house_baijia184 -> 宗族 baijia297
  house_baijia185 -> 宗族 baijia297
  house_baijia186 -> 宗族 xin410
  house_baijia187 -> 宗族 baijia297
  house_baijia188 -> 宗族 xin507
  house_baijia189 -> 宗族 xin328
  house_baijia19 -> 宗族 baijia297
  house_baijia190 -> 宗族 xin746
  house_baijia191 -> 宗族 baijia297
  house_baijia192 -> 宗族 baijia192
  house_baijia193 -> 宗族 xin813
  house_baijia194 -> 宗族 baijia297
  house_baijia195 -> 宗族 xin584
  house_baijia196 -> 宗族 xin731
  house_baijia197 -> 宗族 baijia297
  house_baijia198 -> 宗族 xin44
  house_baijia199 -> 宗族 xin826
  house_baijia2 -> 宗族 baijia47
  house_baijia20 -> 宗族 xin728
  house_baijia200 -> 宗族 baijia297
  house_baijia201 -> 宗族 baijia297
  house_baijia202 -> 宗族 baijia297
  house_baijia203 -> 宗族 baijia297
  house_baijia204 -> 宗族 baijia297
  house_baijia205 -> 宗族 baijia297
  house_baijia206 -> 宗族 baijia297
  house_baijia207 -> 宗族 baijia297
  house_baijia208 -> 宗族 xin534
  house_baijia209 -> 宗族 xin672
  house_baijia21 -> 宗族 baijia471
  house_baijia210 -> 宗族 baijia297
  house_baijia211 -> 宗族 xin483
  house_baijia212 -> 宗族 baijia297
  house_baijia213 -> 宗族 xin691
  house_baijia214 -> 宗族 baijia297
  house_baijia215 -> 宗族 xin915
  house_baijia216 -> 宗族 baijia297
  house_baijia217 -> 宗族 xin668
  house_baijia218 -> 宗族 baijia297
  house_baijia219 -> 宗族 baijia297
  house_baijia22 -> 宗族 xin328
  house_baijia220 -> 宗族 baijia335
  house_baijia221 -> 宗族 baijia221
  house_baijia222 -> 宗族 xin749
  house_baijia223 -> 宗族 xin885
  house_baijia224 -> 宗族 baijia297
  house_baijia225 -> 宗族 baijia297
  house_baijia226 -> 宗族 baijia226
  house_baijia227 -> 宗族 baijia297
  house_baijia228 -> 宗族 xin51
  house_baijia229 -> 宗族 xin44
  house_baijia23 -> 宗族 xin389
  house_baijia230 -> 宗族 baijia297
  house_baijia231 -> 宗族 baijia297
  house_baijia232 -> 宗族 baijia297
  house_baijia233 -> 宗族 baijia297
  house_baijia234 -> 宗族 baijia297
  house_baijia235 -> 宗族 baijia297
  house_baijia236 -> 宗族 baijia297
  house_baijia237 -> 宗族 baijia297
  house_baijia238 -> 宗族 baijia297
  house_baijia239 -> 宗族 xin801
  house_baijia24 -> 宗族 xin651
  house_baijia240 -> 宗族 xin668
  house_baijia241 -> 宗族 baijia297
  house_baijia242 -> 宗族 baijia297
  house_baijia243 -> 宗族 xin645
  house_baijia244 -> 宗族 baijia297
  house_baijia245 -> 宗族 xin742
  house_baijia246 -> 宗族 baijia297
  house_baijia247 -> 宗族 baijia32
  house_baijia248 -> 宗族 baijia248
  house_baijia249 -> 宗族 baijia297
  house_baijia25 -> 宗族 xin47
  house_baijia250 -> 宗族 baijia297
  house_baijia251 -> 宗族 baijia297
  house_baijia252 -> 宗族 xin32
  house_baijia253 -> 宗族 baijia297
  house_baijia254 -> 宗族 xin497
  house_baijia255 -> 宗族 baijia297
  house_baijia256 -> 宗族 xin456
  house_baijia257 -> 宗族 baijia297
  house_baijia258 -> 宗族 baijia297
  house_baijia259 -> 宗族 baijia297
  house_baijia26 -> 宗族 xin493
  house_baijia260 -> 宗族 baijia297
  house_baijia261 -> 宗族 xin483
  house_baijia262 -> 宗族 xin574
  house_baijia263 -> 宗族 xin32
  house_baijia264 -> 宗族 baijia297
  house_baijia265 -> 宗族 baijia297
  house_baijia266 -> 宗族 xin455
  house_baijia267 -> 宗族 baijia297
  house_baijia268 -> 宗族 baijia297
  house_baijia269 -> 宗族 baijia297
  house_baijia27 -> 宗族 baijia27
  house_baijia270 -> 宗族 baijia297
  house_baijia271 -> 宗族 baijia297
  house_baijia272 -> 宗族 baijia272
  house_baijia273 -> 宗族 baijia297
  house_baijia274 -> 宗族 baijia297
  house_baijia275 -> 宗族 baijia297
  house_baijia276 -> 宗族 baijia297
  house_baijia277 -> 宗族 baijia297
  house_baijia278 -> 宗族 baijia297
  house_baijia279 -> 宗族 baijia297
  house_baijia28 -> 宗族 xin47
  house_baijia280 -> 宗族 xin454
  house_baijia281 -> 宗族 baijia297
  house_baijia282 -> 宗族 baijia297
  house_baijia283 -> 宗族 xin32
  house_baijia284 -> 宗族 baijia297
  house_baijia285 -> 宗族 baijia297
  house_baijia286 -> 宗族 baijia297
  house_baijia287 -> 宗族 baijia297
  house_baijia288 -> 宗族 baijia297
  house_baijia289 -> 宗族 baijia297
  house_baijia29 -> 宗族 baijia297
  house_baijia290 -> 宗族 xin801
  house_baijia291 -> 宗族 baijia297
  house_baijia292 -> 宗族 xin872
  house_baijia293 -> 宗族 xin331
  house_baijia294 -> 宗族 baijia297
  house_baijia295 -> 宗族 baijia297
  house_baijia296 -> 宗族 baijia297
  house_baijia297 -> 宗族 baijia297
  house_baijia298 -> 宗族 xin833
  house_baijia299 -> 宗族 baijia297
  house_baijia3 -> 宗族 xin507
  house_baijia30 -> 宗族 xin673
  house_baijia300 -> 宗族 baijia297
  house_baijia301 -> 宗族 baijia301
  house_baijia302 -> 宗族 baijia297
  house_baijia303 -> 宗族 baijia297
  house_baijia304 -> 宗族 xin687
  house_baijia305 -> 宗族 baijia297
  house_baijia306 -> 宗族 baijia297
  house_baijia307 -> 宗族 baijia297
  house_baijia308 -> 宗族 baijia297
  house_baijia309 -> 宗族 baijia297
  house_baijia31 -> 宗族 baijia297
  house_baijia310 -> 宗族 baijia297
  house_baijia311 -> 宗族 baijia297
  house_baijia312 -> 宗族 baijia297
  house_baijia313 -> 宗族 baijia297
  house_baijia314 -> 宗族 baijia297
  house_baijia315 -> 宗族 xin381
  house_baijia316 -> 宗族 xin662
  house_baijia317 -> 宗族 xin724
  house_baijia318 -> 宗族 baijia297
  house_baijia319 -> 宗族 baijia297
  house_baijia32 -> 宗族 baijia297
  house_baijia320 -> 宗族 baijia297
  house_baijia321 -> 宗族 xin52
  house_baijia322 -> 宗族 baijia297
  house_baijia323 -> 宗族 baijia297
  house_baijia324 -> 宗族 baijia297
  house_baijia325 -> 宗族 baijia297
  house_baijia326 -> 宗族 baijia297
  house_baijia327 -> 宗族 baijia297
  house_baijia328 -> 宗族 baijia328
  house_baijia329 -> 宗族 baijia297
  house_baijia33 -> 宗族 baijia297
  house_baijia330 -> 宗族 baijia297
  house_baijia331 -> 宗族 baijia297
  house_baijia332 -> 宗族 baijia297
  house_baijia333 -> 宗族 baijia297
  house_baijia334 -> 宗族 baijia334
  house_baijia335 -> 宗族 baijia335
  house_baijia336 -> 宗族 baijia297
  house_baijia337 -> 宗族 baijia297
  house_baijia338 -> 宗族 baijia297
  house_baijia339 -> 宗族 baijia297
  house_baijia34 -> 宗族 baijia32
  house_baijia340 -> 宗族 baijia297
  house_baijia341 -> 宗族 baijia297
  house_baijia342 -> 宗族 baijia297
  house_baijia343 -> 宗族 baijia297
  house_baijia344 -> 宗族 baijia297
  house_baijia345 -> 宗族 baijia297
  house_baijia346 -> 宗族 baijia297
  house_baijia347 -> 宗族 baijia297
  house_baijia348 -> 宗族 baijia297
  house_baijia349 -> 宗族 baijia297
  house_baijia35 -> 宗族 xin55
  house_baijia350 -> 宗族 baijia297
  house_baijia351 -> 宗族 xin44
  house_baijia352 -> 宗族 baijia297
  house_baijia353 -> 宗族 baijia297
  house_baijia354 -> 宗族 xin328
  house_baijia355 -> 宗族 baijia297
  house_baijia356 -> 宗族 baijia297
  house_baijia357 -> 宗族 baijia297
  house_baijia358 -> 宗族 baijia297
  house_baijia359 -> 宗族 baijia297
  house_baijia36 -> 宗族 baijia297
  house_baijia360 -> 宗族 baijia297
  house_baijia361 -> 宗族 baijia297
  house_baijia362 -> 宗族 baijia297
  house_baijia363 -> 宗族 baijia297
  house_baijia364 -> 宗族 baijia297
  house_baijia365 -> 宗族 baijia297
  house_baijia366 -> 宗族 baijia297
  house_baijia367 -> 宗族 xin56
  house_baijia368 -> 宗族 baijia297
  house_baijia369 -> 宗族 baijia297
  house_baijia37 -> 宗族 baijia297
  house_baijia370 -> 宗族 baijia297
  house_baijia371 -> 宗族 baijia297
  house_baijia372 -> 宗族 xin487
  house_baijia373 -> 宗族 baijia297
  house_baijia374 -> 宗族 baijia297
  house_baijia375 -> 宗族 xin715
  house_baijia376 -> 宗族 baijia297
  house_baijia377 -> 宗族 baijia297
  house_baijia378 -> 宗族 xin53
  house_baijia379 -> 宗族 baijia297
  house_baijia38 -> 宗族 baijia297
  house_baijia380 -> 宗族 xin518
  house_baijia381 -> 宗族 baijia297
  house_baijia382 -> 宗族 baijia297
  house_baijia383 -> 宗族 xin606
  house_baijia384 -> 宗族 baijia384
  house_baijia385 -> 宗族 xin17
  house_baijia386 -> 宗族 baijia297
  house_baijia387 -> 宗族 baijia297
  house_baijia388 -> 宗族 baijia297
  house_baijia389 -> 宗族 xin51
  house_baijia39 -> 宗族 baijia297
  house_baijia390 -> 宗族 xin381
  house_baijia391 -> 宗族 baijia297
  house_baijia392 -> 宗族 baijia297
  house_baijia393 -> 宗族 baijia393
  house_baijia394 -> 宗族 baijia394
  house_baijia395 -> 宗族 baijia297
  house_baijia396 -> 宗族 xin505
  house_baijia397 -> 宗族 baijia297
  house_baijia398 -> 宗族 baijia297
  house_baijia399 -> 宗族 baijia297
  house_baijia4 -> 宗族 xin51
  house_baijia40 -> 宗族 baijia297
  house_baijia400 -> 宗族 baijia297
  house_baijia401 -> 宗族 baijia297
  house_baijia402 -> 宗族 baijia297
  house_baijia403 -> 宗族 xin47
  house_baijia404 -> 宗族 baijia297
  house_baijia405 -> 宗族 baijia297
  house_baijia406 -> 宗族 baijia297
  house_baijia407 -> 宗族 baijia297
  house_baijia408 -> 宗族 baijia297
  house_baijia409 -> 宗族 baijia297
  house_baijia41 -> 宗族 xin485
  house_baijia410 -> 宗族 xin813
  house_baijia411 -> 宗族 baijia297
  house_baijia412 -> 宗族 baijia297
  house_baijia413 -> 宗族 baijia297
  house_baijia414 -> 宗族 xin503
  house_baijia415 -> 宗族 baijia297
  house_baijia416 -> 宗族 baijia297
  house_baijia417 -> 宗族 baijia297
  house_baijia418 -> 宗族 baijia297
  house_baijia419 -> 宗族 baijia297
  house_baijia42 -> 宗族 xin52
  house_baijia420 -> 宗族 baijia297
  house_baijia421 -> 宗族 baijia297
  house_baijia422 -> 宗族 baijia297
  house_baijia423 -> 宗族 baijia297
  house_baijia424 -> 宗族 baijia297
  house_baijia425 -> 宗族 xin354
  house_baijia426 -> 宗族 baijia297
  house_baijia427 -> 宗族 baijia297
  house_baijia428 -> 宗族 xin833
  house_baijia429 -> 宗族 baijia297
  house_baijia43 -> 宗族 baijia297
  house_baijia430 -> 宗族 baijia297
  house_baijia431 -> 宗族 baijia297
  house_baijia432 -> 宗族 xin670
  house_baijia433 -> 宗族 baijia297
  house_baijia434 -> 宗族 baijia297
  house_baijia435 -> 宗族 baijia297
  house_baijia436 -> 宗族 baijia297
  house_baijia437 -> 宗族 baijia297
  house_baijia438 -> 宗族 baijia297
  house_baijia439 -> 宗族 baijia297
  house_baijia44 -> 宗族 xin503
  house_baijia440 -> 宗族 baijia297
  house_baijia441 -> 宗族 baijia297
  house_baijia442 -> 宗族 baijia297
  house_baijia443 -> 宗族 baijia297
  house_baijia444 -> 宗族 xin629
  house_baijia445 -> 宗族 baijia297
  house_baijia446 -> 宗族 baijia297
  house_baijia447 -> 宗族 baijia297
  house_baijia448 -> 宗族 baijia297
  house_baijia449 -> 宗族 baijia297
  house_baijia45 -> 宗族 xin471
  house_baijia450 -> 宗族 xin810
  house_baijia451 -> 宗族 baijia297
  house_baijia452 -> 宗族 baijia297
  house_baijia453 -> 宗族 xin44
  house_baijia454 -> 宗族 baijia297
  house_baijia455 -> 宗族 baijia297
  house_baijia456 -> 宗族 baijia297
  house_baijia457 -> 宗族 baijia297
  house_baijia458 -> 宗族 xin645
  house_baijia459 -> 宗族 baijia297
  house_baijia46 -> 宗族 baijia297
  house_baijia460 -> 宗族 xin381
  house_baijia461 -> 宗族 baijia297
  house_baijia462 -> 宗族 baijia297
  house_baijia463 -> 宗族 xin722
  house_baijia464 -> 宗族 xin462
  house_baijia465 -> 宗族 baijia297
  house_baijia466 -> 宗族 baijia297
  house_baijia467 -> 宗族 baijia297
  house_baijia468 -> 宗族 baijia297
  house_baijia469 -> 宗族 xin877
  house_baijia47 -> 宗族 baijia47
  house_baijia470 -> 宗族 baijia297
  house_baijia471 -> 宗族 baijia471
  house_baijia472 -> 宗族 baijia297
  house_baijia473 -> 宗族 baijia297
  house_baijia474 -> 宗族 baijia297
  house_baijia475 -> 宗族 baijia297
  house_baijia476 -> 宗族 baijia297
  house_baijia477 -> 宗族 baijia297
  house_baijia478 -> 宗族 xin476
  house_baijia479 -> 宗族 baijia297
  house_baijia48 -> 宗族 baijia297
  house_baijia480 -> 宗族 baijia297
  house_baijia481 -> 宗族 baijia297
  house_baijia482 -> 宗族 baijia297
  house_baijia483 -> 宗族 baijia297
  house_baijia484 -> 宗族 baijia297
  house_baijia485 -> 宗族 baijia297
  house_baijia486 -> 宗族 baijia297
  house_baijia487 -> 宗族 baijia297
  house_baijia488 -> 宗族 xin396
  house_baijia489 -> 宗族 baijia297
  house_baijia49 -> 宗族 xin389
  house_baijia490 -> 宗族 baijia297
  house_baijia491 -> 宗族 baijia297
  house_baijia492 -> 宗族 baijia297
  house_baijia493 -> 宗族 xin584
  house_baijia494 -> 宗族 xin47
  house_baijia495 -> 宗族 baijia297
  house_baijia496 -> 宗族 baijia297
  house_baijia497 -> 宗族 baijia297
  house_baijia498 -> 宗族 baijia297
  house_baijia499 -> 宗族 baijia297
  house_baijia5 -> 宗族 baijia297
  house_baijia50 -> 宗族 baijia297
  house_baijia500 -> 宗族 xin414
  house_baijia501 -> 宗族 baijia297
  house_baijia502 -> 宗族 baijia297
  house_baijia503 -> 宗族 baijia297
  house_baijia504 -> 宗族 baijia297
  house_baijia51 -> 宗族 baijia297
  house_baijia52 -> 宗族 baijia297
  house_baijia53 -> 宗族 xin700
  house_baijia54 -> 宗族 baijia297
  house_baijia55 -> 宗族 baijia297
  house_baijia56 -> 宗族 baijia297
  house_baijia57 -> 宗族 baijia297
  house_baijia58 -> 宗族 baijia58
  house_baijia59 -> 宗族 xin44
  house_baijia6 -> 宗族 baijia297
  house_baijia60 -> 宗族 baijia297
  house_baijia61 -> 宗族 baijia297
  house_baijia62 -> 宗族 baijia297
  house_baijia63 -> 宗族 baijia297
  house_baijia64 -> 宗族 xin32
  house_baijia65 -> 宗族 xin478
  house_baijia66 -> 宗族 baijia297
  house_baijia67 -> 宗族 baijia297
  house_baijia68 -> 宗族 baijia58
  house_baijia69 -> 宗族 baijia32
  house_baijia7 -> 宗族 xin531
  house_baijia70 -> 宗族 baijia297
  house_baijia71 -> 宗族 baijia297
  house_baijia72 -> 宗族 baijia297
  house_baijia73 -> 宗族 xin330
  house_baijia74 -> 宗族 baijia297
  house_baijia75 -> 宗族 xin56
  house_baijia76 -> 宗族 xin815
  house_baijia77 -> 宗族 baijia297
  house_baijia78 -> 宗族 baijia297
  house_baijia79 -> 宗族 baijia297
  house_baijia8 -> 宗族 baijia297
  house_baijia80 -> 宗族 xin507
  house_baijia81 -> 宗族 xin47
  house_baijia82 -> 宗族 baijia297
  house_baijia83 -> 宗族 baijia297
  house_baijia84 -> 宗族 baijia297
  house_baijia85 -> 宗族 xin664
  house_baijia86 -> 宗族 baijia297
  house_baijia87 -> 宗族 baijia297
  house_baijia88 -> 宗族 xin507
  house_baijia89 -> 宗族 baijia297
  house_baijia9 -> 宗族 baijia471
  house_baijia90 -> 宗族 xin17
  house_baijia91 -> 宗族 baijia297
  house_baijia92 -> 宗族 baijia297
  house_baijia93 -> 宗族 baijia297
  house_baijia94 -> 宗族 baijia297
  house_baijia95 -> 宗族 baijia297
  house_baijia96 -> 宗族 xin51
  house_baijia97 -> 宗族 baijia297
  house_baijia98 -> 宗族 baijia297
  house_baijia99 -> 宗族 xin51
  house_hd_zhang_mancheng -> 宗族 dynasty_hd_zhang_mancheng
  house_xin1 -> 宗族 xin582
  house_xin10 -> 宗族 baijia297
  house_xin100 -> 宗族 baijia297
  house_xin101 -> 宗族 baijia297
  house_xin102 -> 宗族 baijia297
  house_xin103 -> 宗族 baijia297
  house_xin104 -> 宗族 baijia297
  house_xin105 -> 宗族 baijia297
  house_xin106 -> 宗族 baijia297
  house_xin107 -> 宗族 baijia297
  house_xin108 -> 宗族 baijia297
  house_xin109 -> 宗族 baijia297
  house_xin11 -> 宗族 baijia297
  house_xin110 -> 宗族 xin644
  house_xin111 -> 宗族 baijia297
  house_xin112 -> 宗族 baijia297
  house_xin113 -> 宗族 baijia297
  house_xin114 -> 宗族 baijia297
  house_xin115 -> 宗族 baijia297
  house_xin116 -> 宗族 baijia297
  house_xin117 -> 宗族 xin644
  house_xin118 -> 宗族 baijia297
  house_xin119 -> 宗族 baijia297
  house_xin12 -> 宗族 baijia297
  house_xin120 -> 宗族 baijia297
  house_xin121 -> 宗族 baijia297
  house_xin122 -> 宗族 baijia297
  house_xin123 -> 宗族 baijia297
  house_xin124 -> 宗族 baijia297
  house_xin125 -> 宗族 baijia297
  house_xin126 -> 宗族 baijia297
  house_xin127 -> 宗族 xin127
  house_xin128 -> 宗族 baijia297
  house_xin129 -> 宗族 baijia297
  house_xin13 -> 宗族 baijia297
  house_xin130 -> 宗族 baijia297
  house_xin131 -> 宗族 baijia297
  house_xin132 -> 宗族 baijia297
  house_xin133 -> 宗族 baijia297
  house_xin134 -> 宗族 baijia297
  house_xin135 -> 宗族 baijia297
  house_xin136 -> 宗族 baijia297
  house_xin137 -> 宗族 baijia297
  house_xin138 -> 宗族 baijia297
  house_xin139 -> 宗族 baijia297
  house_xin14 -> 宗族 baijia297
  house_xin140 -> 宗族 baijia297
  house_xin141 -> 宗族 baijia297
  house_xin142 -> 宗族 baijia297
  house_xin143 -> 宗族 baijia297
  house_xin144 -> 宗族 baijia297
  house_xin145 -> 宗族 baijia297
  house_xin146 -> 宗族 baijia297
  house_xin147 -> 宗族 baijia297
  house_xin148 -> 宗族 baijia297
  house_xin149 -> 宗族 baijia297
  house_xin15 -> 宗族 baijia297
  house_xin150 -> 宗族 xin47
  house_xin151 -> 宗族 baijia297
  house_xin152 -> 宗族 baijia297
  house_xin153 -> 宗族 baijia297
  house_xin154 -> 宗族 baijia297
  house_xin155 -> 宗族 baijia297
  house_xin156 -> 宗族 baijia297
  house_xin157 -> 宗族 baijia297
  house_xin158 -> 宗族 baijia297
  house_xin159 -> 宗族 baijia297
  house_xin16 -> 宗族 xin493
  house_xin160 -> 宗族 baijia297
  house_xin161 -> 宗族 baijia297
  house_xin162 -> 宗族 baijia297
  house_xin163 -> 宗族 baijia297
  house_xin164 -> 宗族 baijia297
  house_xin165 -> 宗族 baijia297
  house_xin166 -> 宗族 baijia297
  house_xin167 -> 宗族 baijia297
  house_xin168 -> 宗族 baijia297
  house_xin169 -> 宗族 baijia297
  house_xin17 -> 宗族 xin17
  house_xin170 -> 宗族 baijia297
  house_xin171 -> 宗族 baijia297
  house_xin172 -> 宗族 xin871
  house_xin173 -> 宗族 baijia297
  house_xin174 -> 宗族 baijia297
  house_xin175 -> 宗族 baijia297
  house_xin176 -> 宗族 baijia297
  house_xin177 -> 宗族 baijia297
  house_xin178 -> 宗族 baijia297
  house_xin179 -> 宗族 baijia297
  house_xin18 -> 宗族 xin17
  house_xin180 -> 宗族 baijia297
  house_xin181 -> 宗族 baijia297
  house_xin182 -> 宗族 xin182
  house_xin183 -> 宗族 baijia297
  house_xin184 -> 宗族 baijia297
  house_xin185 -> 宗族 baijia297
  house_xin186 -> 宗族 baijia297
  house_xin187 -> 宗族 baijia297
  house_xin188 -> 宗族 baijia297
  house_xin189 -> 宗族 baijia297
  house_xin19 -> 宗族 xin397
  house_xin190 -> 宗族 baijia297
  house_xin191 -> 宗族 baijia297
  house_xin192 -> 宗族 baijia297
  house_xin193 -> 宗族 baijia297
  house_xin194 -> 宗族 baijia297
  house_xin195 -> 宗族 baijia297
  house_xin196 -> 宗族 baijia297
  house_xin197 -> 宗族 baijia297
  house_xin198 -> 宗族 baijia297
  house_xin199 -> 宗族 baijia297
  house_xin2 -> 宗族 xin389
  house_xin20 -> 宗族 xin338
  house_xin200 -> 宗族 baijia297
  house_xin201 -> 宗族 baijia297
  house_xin202 -> 宗族 baijia297
  house_xin203 -> 宗族 baijia297
  house_xin204 -> 宗族 baijia297
  house_xin205 -> 宗族 xin775
  house_xin206 -> 宗族 baijia297
  house_xin207 -> 宗族 baijia297
  house_xin208 -> 宗族 baijia297
  house_xin209 -> 宗族 baijia297
  house_xin21 -> 宗族 xin381
  house_xin210 -> 宗族 baijia297
  house_xin211 -> 宗族 xin644
  house_xin212 -> 宗族 xin640
  house_xin213 -> 宗族 xin775
  house_xin214 -> 宗族 xin778
  house_xin215 -> 宗族 xin631
  house_xin216 -> 宗族 xin817
  house_xin217 -> 宗族 xin456
  house_xin218 -> 宗族 xin218
  house_xin219 -> 宗族 xin219
  house_xin22 -> 宗族 baijia297
  house_xin220 -> 宗族 xin799
  house_xin221 -> 宗族 xin221
  house_xin222 -> 宗族 baijia297
  house_xin223 -> 宗族 xin223
  house_xin224 -> 宗族 xin629
  house_xin225 -> 宗族 xin225
  house_xin226 -> 宗族 xin809
  house_xin227 -> 宗族 xin823
  house_xin228 -> 宗族 xin822
  house_xin229 -> 宗族 baijia297
  house_xin23 -> 宗族 baijia297
  house_xin230 -> 宗族 xin230
  house_xin231 -> 宗族 baijia297
  house_xin232 -> 宗族 baijia297
  house_xin233 -> 宗族 xin877
  house_xin234 -> 宗族 xin235
  house_xin235 -> 宗族 xin235
  house_xin236 -> 宗族 baijia297
  house_xin237 -> 宗族 xin883
  house_xin238 -> 宗族 xin819
  house_xin239 -> 宗族 xin57
  house_xin24 -> 宗族 xin408
  house_xin240 -> 宗族 xin52
  house_xin241 -> 宗族 xin401
  house_xin242 -> 宗族 xin242
  house_xin243 -> 宗族 baijia297
  house_xin244 -> 宗族 baijia297
  house_xin245 -> 宗族 baijia297
  house_xin246 -> 宗族 xin51
  house_xin247 -> 宗族 baijia297
  house_xin248 -> 宗族 xin57
  house_xin249 -> 宗族 xin40
  house_xin25 -> 宗族 xin816
  house_xin250 -> 宗族 xin56
  house_xin251 -> 宗族 xin428
  house_xin252 -> 宗族 xin56
  house_xin253 -> 宗族 xin57
  house_xin254 -> 宗族 xin57
  house_xin255 -> 宗族 xin57
  house_xin256 -> 宗族 xin57
  house_xin257 -> 宗族 xin57
  house_xin258 -> 宗族 xin57
  house_xin259 -> 宗族 xin57
  house_xin26 -> 宗族 xin648
  house_xin260 -> 宗族 xin53
  house_xin261 -> 宗族 baijia226
  house_xin262 -> 宗族 xin262
  house_xin263 -> 宗族 xin47
  house_xin264 -> 宗族 xin264
  house_xin265 -> 宗族 xin265
  house_xin266 -> 宗族 xin266
  house_xin267 -> 宗族 xin267
  house_xin268 -> 宗族 xin268
  house_xin269 -> 宗族 xin269
  house_xin27 -> 宗族 xin348
  house_xin270 -> 宗族 xin270
  house_xin271 -> 宗族 xin271
  house_xin272 -> 宗族 xin272
  house_xin273 -> 宗族 xin235
  house_xin274 -> 宗族 xin47
  house_xin275 -> 宗族 baijia297
  house_xin276 -> 宗族 xin47
  house_xin277 -> 宗族 xin277
  house_xin278 -> 宗族 xin278
  house_xin279 -> 宗族 xin279
  house_xin28 -> 宗族 xin348
  house_xin280 -> 宗族 xin280
  house_xin281 -> 宗族 xin281
  house_xin282 -> 宗族 xin282
  house_xin283 -> 宗族 xin283
  house_xin284 -> 宗族 xin284
  house_xin285 -> 宗族 xin285
  house_xin286 -> 宗族 xin286
  house_xin287 -> 宗族 xin287
  house_xin288 -> 宗族 xin288
  house_xin289 -> 宗族 xin289
  house_xin29 -> 宗族 xin356
  house_xin290 -> 宗族 xin290
  house_xin291 -> 宗族 xin291
  house_xin292 -> 宗族 xin292
