name,id,status,house,dynasty,birth,death,detail,sources
刘僬,hd184_char_liu_jiao,new,hd184_house_nanyang_zhangling_liu,hd184_dynasty_nanyang_zhangling_liu,140.1.1,,,https://www.shidianguji.com/zh/book/SK1211/chapter/1l9l35slspjqh
郤俭,xi_jian,existing,house_111010303001013,dyn_111010303001002,150.7.1,188.7.1,,
周喁,,blocked,,,,,交趾刺史周喁与袁绍部将周㬂（周喁）存在身份冲突；须在本地核对表中指定角色ID后才自动使用，不凭同音建成重复人物。,https://zh.wikisource.org/zh-hant/大越史記全書/外紀卷之三
贾琮,jia_cong,existing,uuii_book_house_27faee71e4cb,uuii_book_dyn_222efce6156b,140.7.1,200.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷8
箕稠,hd184_char_ji_chou,new,hd184_house_ji_chou_branch,hd184_dynasty_ji_chou_branch,140.1.1,,,https://zh.wikisource.org/zh-hant/後漢書/卷73
徐灌,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：xu_guan[生=(110, 7, 1),卒=(175, 7, 1)]",https://zh.wikisource.org/zh-hant/後漢書/卷8
鲍鸿,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：bao_hong[生=(195, 7, 1),卒=(260, 7, 1)]",
郭缊,guo_yun,existing,taiyuan_guo,guo,150.1.1,212.1.1,,
羊续,yang_xu,existing,taishan_yang,yang_1,142.7.1,189.7.1,,
秦颉,qin_jie,existing,uuii_book_house_7c35d11f799c,uuii_book_dyn_a414de510b14,156.7.1,221.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷8
褚贡,chu_gong,existing,uuii_book_house_e32b51dba8e4,uuii_book_dyn_d338341f0384,150.7.1,184.3.1,,https://zh.wikisource.org/zh-hant/後漢書/卷8
来达,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：lai_da[生=(110, 7, 1),卒=(175, 7, 1)]",https://zh.wikisource.org/zh-hant/後漢書/卷8
陈懿,chen_yi,existing,uuii_book_house_5e063b947ee4,uuii_book_dyn_d6e4d76d8969,154.7.1,219.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷8
李相如,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：li_xiang_ru[生=(110, 7, 1),卒=(175, 7, 1)]",
李参,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：li_can[生=(110, 7, 1),卒=(175, 7, 1)]",
赵谦,zhao_qian,existing,house_111010001011013,dyn_111010001011002,135.7.1,192.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷8
刘卫,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：liu_wei_4[生=(110, 7, 1),卒=(175, 7, 1)]",https://zh.wikisource.org/zh-hant/後漢書/卷8
陈逸,hd184_char_chen_yi_lu,new,hd184_house_runan_chen,hd184_dynasty_runan_chen,140.1.1,,,https://zh.wikisource.org/zh-hant/後漢書/卷66
张纯,zhang_chun,existing,house_111010024001013,dyn_111010024001002,151.6.1,189.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷73
李瓒,hd184_char_li_zan,new,uuii_book_house_1dfab5dc0460,uuii_book_dyn_296ed359c31c,140.1.1,,,https://zh.wikisource.org/zh-hant/後漢書/卷67
种拂,hd184_char_chong_fu,new,hd184_house_henan_chong,hd184_dynasty_henan_chong,130.1.1,,,https://zh.wikisource.org/zh-hant/後漢書/卷56
阴修,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：yin_xiu[生=(195, 7, 1),卒=(260, 7, 1)]",
黄隽,huang_juan,existing,uuii_book_house_d3dcce0cde2a,uuii_book_dyn_73d6cc50cf0e,154.7.1,219.7.1,,
郭典,guo_dian,existing,uuii_book_house_eaa39994dae3,uuii_book_dyn_1ad84a3a6c04,110.7.1,190.7.1,,
陈雅,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：chen_ya[生=(195, 7, 1),卒=(260, 7, 1)]",
张则,hd184_char_zhang_ze,new,hd184_house_zhang_ze_branch,hd184_dynasty_zhang_ze_branch,140.1.1,,,https://zh.wikisource.org/zh/華陽國志_(四部叢刊本)/卷第十下
张举,zhang_ju,existing,house_111010024001013,dyn_111010024001002,147.6.1,192.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷73
刘政,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：liu_zheng[生=(48, 7, 1),卒=(102, 7, 1)], liu_zheng_3[生=(100, 7, 1),卒=(131, 7, 1)], liu_zheng_4[生=(174, 7, 1),卒=(206, 7, 1)]",https://zh.wikisource.org/zh-hant/後漢書/卷73
阳终,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：yang_zhong_4[生=(110, 7, 1),卒=(175, 7, 1)]",https://zh.wikisource.org/zh-hant/後漢書/卷73
刘胤,hd184_char_liu_yin_hejian,new,hd184_house_hejian_chengping_liu,hd184_dynasty_hejian_chengping_liu,140.1.1,,,https://www.shidianguji.com/zh/book/SK1211/chapter/1l9l35slspjqh
李敏,li_min,existing,house_111010004008013,dyn_111010004008002,142.7.1,202.7.1,,
李燮,li_xie,existing,uuii_book_house_d22fde2352d2,uuii_book_dyn_3144fe22b109,134.7.1,194.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷63
郭异,hd184_char_guo_yi,new,hd184_house_nanyang_shunyang_guo,hd184_dynasty_nanyang_shunyang_guo,140.1.1,,,https://www.shidianguji.com/zh/book/SK1211/chapter/1l9l35slspjqh
丁从,hd184_char_ding_cong,new,hd184_house_jiyin_juyang_ding,hd184_dynasty_jiyin_juyang_ding,140.1.1,,,https://www.shidianguji.com/zh/book/SK1211/chapter/1l9l35slspjqh
