row,office,person,status,character_id,title_id,title_name,prior_holder,new_holder,liege,detail,office_id,family_raw,source_text,note,order,new_character,defer
41,巨鹿太守,郭典,blocked,guo_dian,d_julu,巨鹿,hd_fictional_governor_d_dongping_yuzhou_184,hd_fictional_governor_d_dongping_yuzhou_184,k_uuii_jizhou,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,julu,,《后汉书 皇甫嵩传》：嵩复与巨鹿太守冯翊郭典攻角弟宝于下曲阳,,0,False,
42,巴郡太守,陈雅,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：chen_ya[生=(195, 7, 1),卒=(260, 7, 1)]",bajun,,《华阳国志》：灵帝时为谏大夫。出为巴郡太守,,0,,
43,桂阳太守,张则,assigned_office,hd184_char_zhang_ze,d_guiyang,汉宁,hd_fictional_governor_d_guiyang_184,hd184_char_zhang_ze,k_uuii_jingzhou,只替换虚构持有者；已核对直属县与领主兼容性,guiyang,,《华阳国志·汉中士女》：张则，字元修，南郑人也。为牂柯太守，威著南土。永昌、越巂夷谋欲反，畏则换临其郡，相谏而止，号曰“卧虎”。以伐狄勋，迁护羌校尉，徵拜扶风，又换临桂阳，皆平盗贼。巴郡板楯反，拜降集校尉，镇汉中。,巴郡板楯蛮叛的时候为中平五年，张则疑似担任桂阳太守,0,True,
44,太山太守,张举,assigned_office,zhang_ju,d_taishan,泰山,hd_fictional_governor_d_taishan_184,zhang_ju,k_uuii_yanzhou,只替换虚构持有者；已核对直属县与领主兼容性,taishan,,前中山相张纯私谓前太山太守张举曰：“今乌桓既畔，皆愿为乱，凉州贼起，朝廷不能禁。又洛阳人妻生子两头，此汉祚衰尽，天下有两主之徵也。子若与吾共率乌桓之众以起兵，庶几可定大业。”举因然之,张纯举兵于中平四年,0,False,
45,右北平太守,刘政,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：liu_zheng[生=(48, 7, 1),卒=(102, 7, 1)], liu_zheng_3[生=(100, 7, 1),卒=(131, 7, 1)], liu_zheng_4[生=(174, 7, 1),卒=(206, 7, 1)]",youbeiping,,四年，纯等遂与乌桓大人共连盟，攻蓟下，燔烧城郭，虏略百姓，杀护乌桓校尉箕稠、右北平太守刘政、辽东太守阳终等，众至十余万，屯肥如,,0,,
46,辽东太守,阳终,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：yang_zhong_4[生=(110, 7, 1),卒=(175, 7, 1)]",liaodong,渔阳阳氏,四年，纯等遂与乌桓大人共连盟，攻蓟下，燔烧城郭，虏略百姓，杀护乌桓校尉箕稠、右北平太守刘政、辽东太守阳终等，众至十余万，屯肥如,,0,,
47,辽东太守,刘胤,assigned_county,hd184_char_liu_yin_hejian,c_uuii_p_3856,去斤,hd_fictional_governor_d_liaodong_184,hd184_char_liu_yin_hejian,d_liaodong,分配当地虚构人物持有的县领；上级官位现任者保留,liaodong,,《太尉刘宽碑阴》：辽东太守，河间成平刘胤元嗣,,1,True,
48,河内太守,李敏,blocked,li_min,d_henei,河内,wang_kuang,wang_kuang,k_uuii_sili,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,henei,,《晋书 李胤传》祖敏，汉河内太守，去官还乡里。辽东太守公孙度欲强用之，敏乘轻舟浮沧海，莫知所终。,,0,False,
49,安平相,李燮,assigned_office,li_xie,d_anping,安平,hd_fictional_governor_d_anping_184,li_xie,k_uuii_jizhou,只替换虚构持有者；已核对直属县与领主兼容性,anping,汉中南郑李氏,《后汉书》：灵帝时拜安平相,,0,False,
50,会稽大守,郭异,assigned_county,hd184_char_guo_yi,c_uuii_p_4838,吴宁,hd_fictional_holder_c_uuii_p_4838,hd184_char_guo_yi,d_kuaiji,分配当地虚构人物持有的县领；上级官位现任者保留,kuaiji,南阳顺阳郭氏,《太尉刘宽碑阴》：会稽大守南阳顺阳郭异元平,,0,True,
51,东海相,刘胤,deferred,hd184_char_liu_yin_hejian,,,,,,碑文对应东海相为河内修武江沛，不是刘胤；不自动改名、不重复分配刘胤。,donghai,河间成平刘氏,《太尉刘宽碑阴》：东海相河间成平刘胤元嗣,,0,True,碑文对应东海相为河内修武江沛，不是刘胤；不自动改名、不重复分配刘胤。
52,河内太守,丁从,assigned_county,hd184_char_ding_cong,c_uuii_p_1091,武涉,hd_fictional_governor_d_henei_184,hd184_char_ding_cong,d_henei,分配当地虚构人物持有的县领；上级官位现任者保留,henei,济阴句阳丁氏,《太尉刘宽碑阴》：河内太守济阴句阳丁从文海,,1,True,
